epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3927.77,1.33762,0.95222,1.25305,0.9141,0.58707,0.63086,0.39684,1.26905,0.78181,1.23316,0.0670501,0.000332828,0.000332828
2,7835.66,1.28659,0.80563,1.22744,0.93661,0.6026,0.64173,0.41711,1.25013,0.70868,1.23313,0.0340369,0.000652971,0.000652971
3,12928.4,1.27295,0.77557,1.21087,0.95453,0.60723,0.64515,0.4284,1.21346,0.64808,1.20339,0.0010105,0.000959914,0.000959914
4,16817.5,1.24788,0.72218,1.19035,0.94786,0.60554,0.64234,0.42193,1.21759,0.64161,1.20461,0.0009406,0.0009406,0.0009406
5,20586.9,1.22935,0.70478,1.18453,0.95739,0.60694,0.64802,0.43436,1.19664,0.60145,1.18458,0.0009208,0.0009208,0.0009208
6,24249,1.22031,0.6846,1.17315,0.95388,0.61119,0.65088,0.44266,1.17669,0.57737,1.17263,0.000901,0.000901,0.000901
7,27848.4,1.2067,0.66161,1.15975,0.95678,0.6123,0.64984,0.44293,1.18702,0.58873,1.17932,0.0008812,0.0008812,0.0008812
8,31574.9,1.18597,0.64839,1.15966,0.95479,0.61508,0.65225,0.44043,1.17818,0.58187,1.17557,0.0008614,0.0008614,0.0008614
9,35325.7,1.17893,0.63913,1.16366,0.96251,0.61386,0.6532,0.43928,1.18302,0.55475,1.16685,0.0008416,0.0008416,0.0008416
10,39050.9,1.17842,0.63282,1.15603,0.95327,0.62563,0.65715,0.44088,1.16962,0.54471,1.17941,0.0008218,0.0008218,0.0008218
